length,width,depth,ratio,circularity,volume,crease_depth,surface_area,crease_volume,x,y,z
4.3512,1.2638604575273,0.678342932161932,3.4427851382525,0.538148405590547,1.635730440192,0.336607561297233,11.8398421333333,2.5934336e-05,243.28132927448,343.382134703196,182.389142567225
4.2624,1.31551594465336,0.757200269228385,3.24009755816615,0.546896382773381,1.826529350144,0.34342567644417,13.82930944,8.64869564839148e-06,247.695892317085,297.030583992389,236.936531826378
4.5288,1.35337505926378,0.743468367039578,3.34630076784748,0.562117899886855,2.01470889216,0.319688201299366,13.5501064533333,2.5934336e-05,250.925801966943,363.289107152052,281.366973894238
4.3512,1.38373371956382,0.767247542907469,3.14453564185138,0.573390886596591,2.112273864192,0.332156251416031,14.97532672,8.64845338660999e-06,261.611796628482,300.740113202451,330.97653688902
4.8544,1.39084635898908,0.751818098670179,3.49024891831213,0.563007007902421,2.283310810112,0.310490841121483,14.9554670933333,1.29706481846484e-05,250.808296040526,374.768315122328,379.398605211149
4.5288,1.36184564784845,0.778934457061491,3.32548700152249,0.607177645205277,2.336761476608,0.261660983212714,15.48700416,1.29710249803688e-05,271.236928848096,311.644628924675,433.684294640578
4.5288,1.37219882427787,0.764232581211459,3.30039635647067,0.557050464884068,2.150163929088,0.344128763292771,14.8573371733333,2.5934336e-05,250.479199585077,380.223201900925,483.916979265924
4.44,1.31172818669353,0.784421792598397,3.38484759650694,0.55446099816962,2.059290015744,0.375981142008751,14.1704277333333,2.5934336e-05,283.15354390207,323.82609188454,532.240076066697
4.1144,1.27886064038845,0.613762112631861,3.21723874366033,0.539225763820071,1.430045221376,0.29365163548165,10.6587784533333,8.691543311695e-06,241.390852541666,242.831849259172,548.558277869462
3.848,1.3552117843392,0.904547994274376,2.83940860348724,0.530983003614486,1.928788436992,0.434606518814643,14.6587409066667,2.5934336e-05,230.634741569408,215.905273490023,611.427190340451
4.8248,1.39894993827179,0.657799310202344,3.4488725207425,0.519538150466766,1.952803632128,0.320909508630476,13.15641856,1.32573825322184e-05,248.321920900954,290.516428059178,634.160508911259
3.7296,1.40028271300704,0.865511231137131,2.66346214614823,0.613317859708076,1.998266523136,0.32582215480295,14.8888789333333,2.5934336e-05,245.386678952901,243.792527027553,702.125786816524
4.44,1.36313620990896,0.662977088187897,3.25719467190777,0.570074568482546,1.850233333248,0.285143434653302,12.4940416,8.66528214408539e-06,257.824705997785,323.0316499166,731.37654710343
3.7,1.41552265637894,0.846650365825615,2.61387550621408,0.538114046380662,1.96478529536,0.416368670729026,14.35851008,1.30167150393013e-05,264.665337909187,274.395789334741,791.655398627244
