Measurement number,length,width,depth,ratio,circularity,volume,crease_depth,surface_area,x,y,z,geometry_ratio,grain_count,Plant number,Plant section,Number of slices,Resolution,RIL ID
1507,4.203200000000001,1.2769115833271698,0.6092571700811219,3.2916922791537297,0.5306801007476228,1.653158313984,0.26504167733083406,13.60501248,163.28641127008,196.27943022088397,1075.288862675562,0.5699051552406124,9,BD_01273,all,1016,29.6,1
1507,4.6472,1.42843808664375,0.7089354235807761,3.25334366498098,0.44978518903680503,1.7889504972799999,0.4074884041114621,14.0793070933333,183.030719049,255.910263844593,1029.172769543793,0.5306388672820735,9,BD_01273,all,1016,29.6,1
1507,4.3808,1.4215300783868698,0.8189422657954619,3.08174977554556,0.4745643637058851,1.9721247124479997,0.46691686128898613,15.492845226666702,178.57487211183096,195.44411714424697,974.003482993269,0.3922146027325907,9,BD_01273,all,1016,29.6,1
1507,4.7656,1.3141583719967405,0.7699582043243001,3.6263513603456503,0.46559260394668806,1.9056290749439997,0.445360938558579,14.568788479999998,197.98228065161504,265.8916289007739,933.8980076126721,0.5094137531347875,9,BD_01273,all,1016,29.6,1
1507,3.6408,1.1855758740011701,0.7962564899717347,3.0709126930128394,0.440747345319278,1.323481034752,0.460690612959185,12.288436053333301,310.846272926791,364.615907665778,914.341815957277,0.30996888331396244,9,BD_01273,all,1016,29.6,1
1507,4.3512,1.4052044067755098,0.8615615117434711,3.0964890083034997,0.45078930986540405,2.019558612992,0.47418995269460307,16.227651413333298,191.938167762482,199.405819806863,880.7873517423949,0.3611300168869329,9,BD_01273,all,1016,29.6,1
1507,4.6472,1.3391039695212803,0.749308892265964,3.47038027350583,0.46927644868761204,1.82461020928,0.4279222612096112,14.147063466666697,213.99748418733603,276.933267003056,844.960181340929,0.5023930643625832,9,BD_01273,all,1016,29.6,1
1507,4.0847999999999995,1.32078705179246,0.7704177701157059,3.0927014271198896,0.47501539587183106,1.6447555891200003,0.414154403423015,14.277903359999998,210.23226366001697,215.38449893558305,784.2810635478139,0.38767288077066137,9,BD_01273,all,1016,29.6,1
1507,3.2856,1.84840338752676,0.7226208824668651,1.7775340719301898,0.39333228733980313,1.4835477565439998,0.4360043391138841,13.81879552,319.7361980350339,323.754064543198,530.4409501910152,0.28342107482301887,9,BD_01273,all,1016,29.6,1
1509,4.499200000000001,1.2889111640812803,0.7342670916837569,3.4906982927772,0.4888415353398021,1.746962807296,0.41273410962044504,12.3316599466667,222.82233042858604,219.938807321744,1141.596726454788,0.4955375873049961,7,BD_01274,all,1016,29.6,2
1509,4.292,1.3312998030371097,0.769579715727085,3.2239169495921205,0.5509644367794271,1.8664682275839999,0.35597851871573,13.9718314666667,203.878850616238,176.63877502813696,1077.588929956655,0.4234362026365996,7,BD_01274,all,1016,29.6,2
1509,4.469600000000001,1.32269280669425,0.7030101534240539,3.3791670880638396,0.532053591176193,1.929151517696,0.3591595064218279,13.60150784,229.14153391140698,230.45741749008505,1024.5396720059712,0.5146202538688919,7,BD_01274,all,1016,29.6,2
1509,4.4104,1.30120248956405,0.757463532848101,3.3894801426929604,0.584617427119329,2.0134381096959997,0.32280249232636404,14.31995904,219.49572363336597,173.24702457622797,964.522719801959,0.4579570275389985,7,BD_01274,all,1016,29.6,2
1509,4.499200000000001,1.31820411396421,0.8542625869114479,3.4131284770987698,0.450655031585279,2.1100953799679996,0.49707259697530104,14.786076159999999,230.348975553398,233.787379702806,907.4688213252481,0.40124117216572874,7,BD_01274,all,1016,29.6,2
1509,4.3216,1.2556388819583,0.8853013759156518,3.4417538848908498,0.46922579013894006,1.998940815872,0.492079369111715,14.3643511466667,239.28001868261603,176.837552058331,842.512635019786,0.36386302067692783,7,BD_01274,all,1016,29.6,2
1509,4.469600000000001,1.2374644986954595,0.748650359275295,3.6119015977524107,0.46837584365715307,1.512568278528,0.4112346711502501,12.1657736533333,240.65437306037097,235.89141505066604,783.402511692409,0.48568978029829396,7,BD_01274,all,1016,29.6,2
1511,3.7888,1.2659618925529195,0.556090359651616,2.9928231033554695,0.6405086123918101,1.3224955299840002,0.154828738973731,10.117895679999998,235.147076126603,120.45730870298499,1110.387971749004,0.5508914775290524,7,BD_01275,all,963,29.6,4
1511,4.2623999999999995,1.0960592777296498,0.502548403791481,3.88884076491651,0.718373628976572,1.4309010544639997,0.107839678639156,10.1833156266667,196.78388371334296,146.24549606698798,1056.340187285748,0.7670874000179685,7,BD_01275,all,963,29.6,4
1511,4.2328,1.4412261080525497,0.6536832684978,2.93694374279658,0.5598073037602339,1.8662866872319999,0.21967250568441898,14.253370879999999,238.99239876601501,140.156235235263,1003.9664868292981,0.5112036555734959,7,BD_01275,all,963,29.6,4
1511,4.5287999999999995,1.50924303636856,0.67137346727814,3.0007095549679605,0.5299021259599939,1.968390168064,0.2742312511115139,13.255716693333301,186.35643420861905,166.993069737414,949.7001861943581,0.5434318965311871,7,BD_01275,all,963,29.6,4
1511,4.3808,1.4859059422979797,0.7838462816555549,2.9482350634017997,0.56292084192185,2.1883652060160004,0.300494161841164,14.802431146666702,236.54416278546097,172.04747514250798,891.5081685982111,0.41253948836967014,7,BD_01275,all,963,29.6,4
1511,4.3216,1.69039968832651,0.68517447331215,2.5565551329924596,0.520533153604853,2.273248287744,0.300044733236224,16.236997120000005,170.60919068154297,216.83981335706304,784.05272724015,0.4858355123691849,7,BD_01275,all,963,29.6,4
1511,3.4632,1.6261204329965702,0.7895159128167079,2.129731555994351,0.566565851058015,2.1522127416320003,0.30280334145533594,15.59915264,263.89344114138396,366.93294130406,558.1255582090441,0.25648525901953617,7,BD_01275,all,963,29.6,4
1513,4.469600000000001,1.31648122967993,0.7514924158240679,3.39511107278504,0.557915387619152,2.02197050624,0.351435732649884,14.039587840000001,260.033951131918,388.12243955621096,1161.078285025989,0.47150340972076943,14,BD_01276,all,1271,29.6,5
1513,4.6472,1.3071872175793198,0.7636094538127901,3.55511432295504,0.5409043853952649,2.0906446279679995,0.38590322081884004,14.565283840000001,309.460546065771,355.96561348665796,1105.751915274503,0.4945999844636155,14,BD_01276,all,1271,29.6,5
1513,4.499200000000001,1.29633397579832,0.8027601788789429,3.47071054527383,0.522081829060782,2.01030005504,0.42621900036581006,14.727665493333298,247.301244920338,375.49738760239995,1050.781687905762,0.4395523462427798,14,BD_01276,all,1271,29.6,5
1513,4.499200000000001,1.3397136052338299,0.7643835255367699,3.3583297075009604,0.5432035604671669,2.0372198958079997,0.37503619734591803,14.697291946666699,309.965068170535,342.9963846065709,997.631853381263,0.46308079649599765,14,BD_01276,all,1271,29.6,5
1513,4.469600000000001,1.33476152219821,0.767365286933526,3.3486131609780396,0.541596449341525,2.012971291648,0.3845057332996471,14.2510344533333,242.05661058002002,353.049975521142,949.36815167079,0.45605458584318526,14,BD_01276,all,1271,29.6,5
1513,4.2623999999999995,1.34670005682765,0.8006767796997041,3.16507003797172,0.544005604918346,2.01004071168,0.4016502933120761,14.527901013333299,307.262292755306,328.4210954131989,894.9559862823601,0.393524281224683,14,BD_01276,all,1271,29.6,5
1513,4.588,1.35723402923631,0.7114006652545609,3.3804044852762596,0.533229302465667,1.9650446387199998,0.342329494631355,14.7416840533333,236.69636375635196,333.30883653402003,851.1193800287051,0.5245456988464973,14,BD_01276,all,1271,29.6,5
1513,4.292,1.34016228454737,0.6857106323651722,3.2025972148959605,0.568496790275843,1.9437266145279997,0.29558203873402106,14.2194926933333,295.867508138976,304.577120136628,799.618788170056,0.496171941198976,14,BD_01276,all,1271,29.6,5
1513,3.848,1.31053573523284,0.613955282974364,2.9362037955541296,0.5240940739685511,1.3306907801599999,0.29001530486091903,11.0933538133333,233.83999220424897,302.37735334242797,738.920007431573,0.4877369598890527,14,BD_01276,all,1271,29.6,5
1513,4.44,1.4033641565849295,0.701253696958099,3.1638259956736396,0.5704744457889139,2.060923878912001,0.344216580333222,13.975336106666703,141.232775869229,271.83891426629884,565.945784242663,0.5025601222968341,14,BD_01276,all,1271,29.6,5
1513,4.3512,1.3783179831316104,0.7351015151820439,3.1568912640273803,0.5423295996312449,1.9668600422399998,0.3578141649646651,14.5851434666667,134.55561122905095,214.62966283838097,510.77355324781104,0.4571679565327856,14,BD_01276,all,1271,29.6,5
1513,4.6175999999999995,1.3805529491051602,0.7101865678047438,3.3447467574445504,0.55541287051002,2.0771587732479997,0.344364290845161,14.6645819733333,164.62668397987298,269.054162036632,463.267107532267,0.5286576102073766,14,BD_01276,all,1271,29.6,5
1513,3.5223999999999998,1.2435882903112998,0.7053864512262428,2.832448670868609,0.497541609818365,1.23084358656,0.35106725808281597,11.41110784,396.2215760640539,261.64157184997896,432.6610918458772,0.3427622458684821,14,BD_01276,all,1271,29.6,5
1513,4.292,1.46000916867636,0.7950046410720989,2.9397075662827,0.542631265444917,2.174360664576,0.38501934463115395,15.52905984,157.61952528625994,207.48615219465597,404.69568162598193,0.3913420843402783,14,BD_01276,all,1271,29.6,5
1515,4.143999999999999,1.29668152843212,0.6993152756211479,3.19585026017198,0.546909049062115,1.71451895296,0.31527163086515997,11.193820159999998,297.403297534412,172.67009529571897,1204.866055944648,0.4595924636492628,14,BD_01277,all,1016,29.6,6
1515,4.854399999999999,1.3838940992227098,0.815481782763286,3.5077828590544202,0.49997452713709806,2.31541751808,0.3875473565332949,16.005690879999996,273.76435931899596,194.56077508960598,1036.0719946321512,0.4780260198834707,14,BD_01277,all,1016,29.6,6
1515,4.9728,1.3626852943268002,0.75079627249794,3.6492651830198994,0.527470927301881,2.290753964544,0.338100287428643,15.481163093333299,315.63022336944806,145.16196266231898,981.1533718774381,0.5564080463486738,14,BD_01277,all,1016,29.6,6
1515,4.2328,1.2829514249025202,0.6110844207801489,3.2992675465648302,0.5301790833546791,1.37659455488,0.28062546266366006,10.859711146666701,179.238018085908,278.149830444612,959.4267131472491,0.5732540873252822,14,BD_01277,all,1016,29.6,6
1515,5.0024,1.4181652891607899,0.8524654770132131,3.527374445160911,0.5025768816054439,2.5469852042239998,0.42422842825209006,17.407546879999995,266.52037512218993,186.712589605735,925.882454065191,0.47023941040737516,14,BD_01277,all,1016,29.6,6
1515,4.4104,1.2963737626742,0.6905150674096688,3.4021052623759505,0.5278978773528311,1.62504549376,0.290506648649174,12.614367573333299,185.823970635174,323.6395467602939,902.7378015356541,0.5188510561187996,14,BD_01277,all,1016,29.6,6
