RIL	length	width	depth	circularity	volume	crease_depth	surface_area	z	geometry_ratio
1	4.222933333333334	1.3933458677746344	0.7563620678161557	0.4610870049467699	1.7350906445937777	0.42197438341001775	14.278422565925922	885.2416095116363	0.4274175887274692
2	4.4230857142857145	1.2936305368563799	0.7789335451121988	0.506390522256589	1.882517876662857	0.4072944663316619	13.648737036190486	963.0902880366881	0.4489064349272052
4	4.139771428571429	1.4449880540463913	0.6631760238576356	0.5855159310961897	1.8859856678765714	0.23713063013450628	13.492697112380958	907.7258980151162	0.5039249556300136
5	4.3427428571428575	1.3439244431530815	0.7363062209659376	0.5417083696218399	1.9237682905234286	0.35965418963396345	14.073466026666658	780.4692338332572	0.4606614302265224
6	4.5732	1.3700950243655465	0.8049358173321084	0.5124247555967926	2.1130815335131428	0.3792707123003508	15.122354712380949	864.9036071539888	0.45788903255735836
7	4.372727272727273	1.3409623102910355	0.8984013005533533	0.46271925545139797	2.1421997302690907	0.4941263301972029	16.036914036363616	943.964293661656	0.36340966026621935
8	4.141533333333333	1.3604203144053684	0.7886644417432239	0.5369093770052463	1.9625743932159998	0.4038942195035357	13.50736931555556	860.6684476134999	0.3857325319131393
9	4.45044705882353	1.3816082709649686	0.7934872891641116	0.5217061636284079	2.0330658254004708	0.38388648784456925	14.645959278431388	806.5964176490726	0.4426644523959706
11	4.769299999999999	1.2675739340208385	0.6648230853746926	0.5620190742806652	1.947098078208	0.30594265199207027	13.989500693333337	1043.5908498034846	0.6258620286192687
13	4.401942857142857	1.2707124446782014	0.719885477358802	0.46453451414363356	1.5331527315017142	0.40180603394748543	12.729186255238101	917.0033606690587	0.496147051890537
14	4.500844444444445	1.4132549513399089	0.7797614906757815	0.5310663039028108	2.227024656213333	0.32476534656288036	15.129855383703699	684.1344725322965	0.4489488674012621
15	4.1181	1.2791573202907212	0.8412783399465525	0.46880316364955904	1.803357020928	0.45409718341608646	14.108366399999987	887.5385955414131	0.3592392071385214
16	4.4399999999999995	1.532452828870096	0.7346140426017298	0.5187838168821962	2.2096624827392	0.3613691869348608	16.20522171733334	649.2295883359036	0.4729137274710724
17	4.4230857142857145	1.4423072931841734	0.7532964026680875	0.5183172007558003	2.108380008886857	0.3628741407957453	15.224489935238083	889.8372590491707	0.4523559435246036
18	4.723811764705882	1.3685508164661804	0.6687825398908102	0.5297200462938277	1.9966265577712943	0.2947600210993123	15.19893649568627	692.6034050760352	0.6044979132562547
19	4.7409333333333334	1.4156479302073015	0.6959553450811037	0.5161768104491753	2.0568176090453334	0.3373442244635703	15.092732159999999	961.5662471688124	0.5673760004419857
20	4.5643199999999995	1.3914479404976199	0.7921583984987818	0.5765622290910122	2.4015247004672	0.3602584841110966	15.190277973333359	882.493799767076	0.4530261625283218
21	4.6201739130434785	1.4356395976853034	0.6814364735896179	0.5105721761266193	1.9513941573453912	0.3348796383204716	14.492600653913039	732.7971410005105	0.5628021270584574
22	4.507657142857143	1.4402578709726441	0.7824999182584839	0.5284389429261063	2.2635303215542857	0.33999427856792197	15.243014460952384	1045.5062674946516	0.4422414099929487
23	4.44592	1.3836299519592807	0.721149994296395	0.5365933860425908	1.9743135704064	0.34981383288021145	14.018209535999997	760.5249920725073	0.4992199564850422
24	4.53176	1.4093514785336019	0.7687394489424065	0.5170612519093598	2.1390329120768	0.36404123824716406	15.038059776	1007.0517804024099	0.4642624561495455
25	4.028888888888889	1.1629887666867988	0.7791285974878408	0.5006020962194079	1.5351801379271113	0.40219891435097505	12.237294269629611	1045.5057372288086	0.40461538644135253
