length,width,depth,ratio,circularity,volume,crease_depth,surface_area,crease_volume,x,y,z
0.8256,56.1599526796087,34.1492177943473,0.0147008670877988,0.130766974212245,193.044481826816,24.4675280021408,468.395977386667,0.000244245504,194.505312275422,376.422131050748,26.5034211795984
0.8256,29.961490284509,27.7188863080221,0.0275553716507506,0.890745571019332,448.59757568,0.120869651933491,922.6421248,0,268.953466424682,222.825415607985,26.5
0.8256,12.534039335216,6.5907392027451,0.0658686300497213,0.398127889812984,31.75517212672,1.54710942281868,81.4845917866666,0.000325660672,465.619526202441,47.3666290636858,26.5
5.5728,1.48516323693737,0.995037739964777,3.75231480378679,0.869133672508421,4.52993994752,0.21208403737397,25.3018146133333,0,230.744716031632,329.030913012221,267.57016534867
7.2928,1.79814429353531,1.51837078737673,4.05573680945354,0.507013194344761,9.021126275072,0.372497573453302,41.2251067733333,0,367.603046821414,129.777300458467,273.083390491318
5.5728,1.58218335563064,0.925777944974403,3.52222135327593,0.840884174395688,4.85397231616,0.157223012169197,21.1553211733333,0,291.678430057028,115.905132505871,295.138141563234
12.2464,3.31451885063965,1.50935629692637,3.69477458172749,0.523702267813117,29.320207282176,0.680251681913687,107.442776746667,0.000189968725333333,414.635710318783,274.163412195935,343.393080084416
5.0224,1.2212060249938,0.865832135547906,4.11265576586515,0.958366994311133,3.753890566144,0.120869651933491,22.4301943466667,0,245.446083109222,311.963650559556,313.556779734536
4.9536,1.6892921214771,0.93071683355278,2.93235251441806,0.868371275561117,4.718497476608,0.110786155993231,20.9218048,0,263.902477741735,82.7802470839948,328.073987162675
5.848,1.87626084071283,0.923425715294287,3.11683742105828,0.82440952066545,6.398580883456,0.155683760048646,25.5668872533333,0,261.030486563518,54.8701649022801,349.615177117264
10.2512,2.98846662380777,1.60008019331959,3.43025413713283,0.440319300697232,25.055680782336,1.30527089169854,103.13219072,0.000325660672,377.825361339295,121.189027243423,384.598900384735
12.4528,3.05735407877797,1.22140788993242,4.0730643815313,0.375449203872998,20.014127919104,0.563951563150576,89.2979234133333,0.000325660672,168.260104790419,175.186328430096,341.847858630565
5.2976,1.57958869967851,0.950575409892562,3.35378443836564,0.870226257099661,5.206988484608,0.176056757681845,22.89091584,0,253.457627118644,76.3332290950028,382.572831321534
