length,width,depth,volume,crease_depth,surface_area,crease_volume
148,40.871335132481,22.1735297190963,60558,11.321287895141,12612,0.333710834277086
130,42.7476098842363,19.8763967273997,52524,9.64875742032106,11770.6666666667,0.500197706603401
152,46.4056343476393,23.007054197151,68800,10.9989548769925,15365.3333333333,0.500400962309543
162,49.5789808567524,24.346201172137,83740,11.6536359285342,18185.3333333333,0.333502853591004
161,46.4829294209061,24.2316694757673,77361,11.7418905531105,16670.6666666667,0.25021146119687
166,49.8674078728852,24.3529820518904,86591,11.4676713807354,18341.3333333333,0.333512192213677
143,43.2248494786747,27.1957205116496,74294,13.4355325530583,13618.6666666667,1
166,47.7624573498615,23.8193990724333,81655,11.5802269682361,17629.3333333333,0.250279746363297
161,48.8897896495671,24.1783664540453,84267,10.816015009493,17648,0.333488914819136
141,45.6025401104277,22.080240507612,59404,11.8228330833686,14249.3333333333,0.333813410145623
156,47.330545672386,25.2982982267969,75639,13.2360928974013,17358.6666666667,0.333446673467075
155,48.5986888561347,23.6994287323743,75369,11.6427329471788,16526.6666666667,0.500331418471056
157,49.2297885154493,26.3409456043758,81264,14.0420531234629,17294.6666666667,0.250684723067559
158,47.751275388206,24.122990659963,76936,12.2354254196988,16924,0.334533021414432
142,48.7742581263217,22.4784256753991,60277,12.4429600737831,15541.3333333333,0.13079699017199
166,51.0209918645638,24.0720181632174,84950,12.5912602235171,18192,0.334325570536392
153,52.786080783915,26.2259024962939,87453,13.31298532149,18600,0.50007204610951
153,55.4114443113706,22.6378209683053,83815,10.7138680636362,18536,0.334687735139202
120,68.9284044564192,18.2534058793065,67497,7.89367970004946,15956,0.334484743811169
82,76.9505801858617,23.0539519771487,55510,12.1509875729775,14500,0.500242600679282
