ID,Main Seed,Main Seeds,Weight(g),TGW(g),ØArea,ØWidth,Min Width,Max Width,ØLength,Min Length,Max Length,Date

BD_01368V6-1,Automatic,38,0.19,4.90,9.3,1.5,1.2,1.7,8.4,6.9,9.5,23/08/2016
BD_01368V6-2,Automatic,50,0.24,4.72,9.5,1.5,1.2,1.6,8.6,7.1,10.1,23/08/2016
BD_01368V6-3,Automatic,44,0.24,5.38,9.6,1.5,1.3,1.7,8.6,7.2,9.6,23/08/2016
BD_01369V6-1,Automatic,36,0.15,4.08,9.0,1.5,1.3,1.7,7.6,6.9,8.4,23/08/2016
BD_01369V6-3,Automatic,49,0.21,4.28,9.7,1.6,1.1,1.9,7.9,7.1,8.9,23/08/2016
BD_01370V6-1,Automatic,38,0.16,4.18,7.8,1.3,1.1,1.7,7.5,6.0,9.5,23/08/2016
BD_01370V6-2,Automatic,50,0.23,4.62,8.5,1.4,1.0,1.6,8.0,6.4,10.0,23/08/2016
BD_01370V6-3,Automatic,50,0.23,4.53,8.3,1.4,1.0,1.6,7.8,6.0,9.3,23/08/2016
BD_01371V6-1,Automatic,44,0.21,4.66,9.2,1.4,1.3,1.5,8.1,7.4,8.9,23/08/2016
BD_01371V6-2,Automatic,44,0.22,4.94,9.5,1.4,1.3,1.6,8.4,7.7,9.4,23/08/2016
BD_01371V6-3,Automatic,50,0.23,4.58,9.3,1.4,1.2,1.6,8.3,7.4,9.5,23/08/2016
BD_01372V6-1,Automatic,42,0.18,4.30,9.4,1.6,1.4,1.9,7.8,6.6,8.8,23/08/2016
BD_01372V6-2,Automatic,45,0.20,4.48,9.2,1.6,1.2,1.8,7.6,6.4,9.0,23/08/2016
BD_01372V6-3,Automatic,50,0.24,4.78,9.3,1.6,1.4,1.8,7.5,6.4,8.4,23/08/2016
BD_01373V6-1,Automatic,35,0.16,4.55,8.4,1.5,1.3,1.6,7.2,6.2,8.4,23/08/2016
BD_01373V6-2,Automatic,15,0.07,4.97,7.6,1.5,1.3,1.6,6.5,5.6,6.9,23/08/2016
BD_01373V6-3,Automatic,50,0.22,4.42,8.4,1.5,1.3,1.6,7.2,6.4,7.9,23/08/2016
BD_01374V6-1,Automatic,44,0.21,4.80,8.6,1.4,1.1,1.7,8.5,7.0,10.8,23/08/2016
BD_01374V6-2,Automatic,44,0.20,4.63,8.7,1.4,1.2,1.5,8.3,6.9,9.6,23/08/2016
BD_01374V6-3,Automatic,50,0.26,5.17,9.2,1.4,1.2,1.6,8.7,7.5,10.5,23/08/2016
BD_01375V6-1,Automatic,44,0.21,4.85,9.7,1.6,1.4,1.8,7.8,6.9,9.4,23/08/2016
BD_01375V6-2,Automatic,47,0.24,5.08,9.7,1.6,1.4,1.8,7.8,7.1,8.9,23/08/2016
BD_01375V6-3,Automatic,50,0.26,5.21,10.2,1.7,1.5,1.9,8.1,7.3,9.0,23/08/2016
BD_01376V6-1,Automatic,40,0.19,4.80,9.6,1.6,1.3,1.7,8.1,6.8,10.1,23/08/2016
