ID,Main Seed,Main Seeds,Weight(g),TGW(g),ØArea,ØWidth,Min Width,Max Width,ØLength,Min Length,Max Length,Date

BD_01310V6-1,Automatic,37,0.17,4.72,8.7,1.5,1.3,1.6,7.7,6.3,9.0,21/08/2016
BD_01310V6-2,Automatic,43,0.20,4.55,9.1,1.5,1.2,1.6,8.4,6.8,10.1,21/08/2016
BD_01310V6-3,Automatic,50,0.23,4.52,9.1,1.4,1.2,1.6,8.3,6.9,9.7,21/08/2016
BD_01311V6-1,Automatic,38,0.21,5.42,10.5,1.6,1.3,1.9,9.1,8.0,11.1,21/08/2016
BD_01311V6-2,Automatic,50,0.29,5.73,11.5,1.7,1.4,1.9,9.5,7.5,11.2,21/08/2016
BD_01311V6-3,Automatic,43,0.23,5.36,11.0,1.6,1.3,1.9,9.3,8.1,10.6,21/08/2016
BD_01312V6-1,Automatic,32,0.16,5.12,10.3,1.5,1.3,1.6,8.9,7.7,10.7,21/08/2016
BD_01312V6-2,Automatic,44,0.11,2.46,10.8,1.5,1.3,1.9,8.9,7.2,9.7,21/08/2016
BD_01312V6-3,Automatic,51,0.22,4.33,10.1,1.5,1.2,1.6,8.9,6.9,10.6,21/08/2016
BD_01313V6-1,Automatic,30,0.12,4.01,10.2,1.6,1.3,1.8,8.2,6.8,9.7,21/08/2016
BD_01313V6-2,Automatic,50,0.20,3.98,9.3,1.5,1.3,1.7,7.9,7.1,9.4,21/08/2016
BD_01313V6-3,Automatic,50,0.23,4.61,9.6,1.6,1.4,1.8,7.8,6.6,9.1,21/08/2016
BD_01314V6-1,Automatic,33,0.16,4.98,10.1,1.5,1.3,1.7,9.0,7.7,10.8,21/08/2016
BD_01314V6-2,Automatic,50,0.26,5.14,9.6,1.5,1.3,1.6,8.3,7.3,9.6,21/08/2016
BD_01314V6-3,Automatic,21,0.10,4.96,9.0,1.5,1.2,1.8,7.5,6.6,8.4,21/08/2016
BD_01315V6-1,Automatic,36,0.18,5.01,9.7,1.5,1.3,1.6,9.3,7.5,10.6,21/08/2016
BD_01315V6-2,Automatic,49,0.23,4.63,9.9,1.5,1.1,2.2,9.3,6.0,15.1,21/08/2016
BD_01315V6-3,Automatic,46,0.18,4.00,8.8,1.4,1.1,1.6,8.6,6.4,10.6,21/08/2016
BD_01316V6-1,Automatic,24,0.11,4.58,10.1,1.6,1.4,1.8,8.7,6.2,10.5,21/08/2016
BD_01316V6-2,Automatic,43,0.21,4.80,9.8,1.5,1.4,1.7,8.6,7.1,9.5,21/08/2016
BD_01316V6-3,Automatic,44,0.23,5.21,9.7,1.5,1.4,1.7,8.6,7.2,9.9,21/08/2016
BD_01318V6-1,Automatic,38,0.23,5.92,10.9,1.6,1.2,1.7,9.4,7.8,10.7,21/08/2016
BD_01318V6-2,Automatic,43,0.25,5.80,10.3,1.5,1.2,1.8,9.4,7.6,11.5,21/08/2016
BD_01318V6-3,Automatic,16,0.07,4.46,9.8,1.5,1.2,1.6,9.0,7.7,10.6,21/08/2016
BD_01319V6-2,Automatic,33,0.12,3.54,8.8,1.5,0.6,2.6,7.6,1.4,8.9,21/08/2016
BD_01320V6-1,Automatic,45,0.20,4.52,10.4,1.6,1.1,1.8,8.7,7.4,10.2,21/08/2016
BD_01320V6-2,Automatic,44,0.20,4.62,10.0,1.6,1.1,1.7,8.5,7.1,9.6,21/08/2016
BD_01320V6-3,Automatic,46,0.23,4.93,10.1,1.6,1.4,1.8,8.6,7.4,9.8,21/08/2016
BD_01321V6-1,Automatic,45,0.22,4.95,8.9,1.6,1.3,1.8,7.2,6.0,8.8,21/08/2016
BD_01321V6-2,Automatic,39,0.18,4.58,9.0,1.6,1.4,1.8,7.5,6.4,9.3,21/08/2016
BD_01322V6-1,Automatic,32,0.09,2.78,10.6,1.6,1.4,1.8,8.8,5.9,10.7,21/08/2016
BD_01322V6-2,Automatic,50,0.21,4.28,9.8,1.6,1.3,1.8,8.5,7.1,10.3,21/08/2016
BD_01322V6-3,Automatic,44,0.22,5.10,10.8,1.7,1.4,1.9,9.1,7.4,10.5,21/08/2016
BD_01323V6-1,Automatic,41,0.20,4.99,9.8,1.5,1.3,1.7,8.8,7.2,10.8,21/08/2016
BD_01323V6-2,Automatic,44,0.20,4.65,8.7,1.4,1.2,1.5,7.9,6.6,9.1,21/08/2016
BD_01323V6-3,Automatic,50,0.22,4.33,8.6,1.4,1.2,1.6,7.9,7.0,8.7,21/08/2016
BD_01324V6-1,Automatic,38,0.18,4.82,9.0,1.5,1.3,1.6,8.4,7.0,9.9,21/08/2016
BD_01324V6-2,Automatic,44,0.21,4.82,9.1,1.5,1.2,1.6,8.4,6.3,9.6,21/08/2016
BD_01324V6-3,Automatic,50,0.23,4.63,9.0,1.5,1.3,1.6,8.2,6.3,9.6,21/08/2016
BD_01325V6-1,Automatic,38,0.18,4.84,10.6,1.8,1.5,2.0,7.8,6.4,9.3,21/08/2016
BD_01325V6-2,Automatic,44,0.21,4.85,10.4,1.8,1.5,2.0,7.8,6.3,9.1,21/08/2016
BD_01325V6-3,Automatic,50,0.23,4.56,10.6,1.8,1.5,2.0,8.0,6.4,9.2,21/08/2016
BD_01326V6-1,Automatic,39,0.20,5.08,9.7,1.6,1.3,1.8,8.1,6.9,9.4,21/08/2016
BD_01326V6-2,Automatic,50,0.26,5.24,10.1,1.6,1.5,1.8,8.5,7.5,10.8,21/08/2016
BD_01326V6-3,Automatic,42,0.22,5.33,10.3,1.6,1.4,1.9,8.7,7.6,9.8,21/08/2016
BD_01327V6-1,Automatic,32,0.19,6.06,10.2,1.6,1.3,1.8,8.4,7.1,9.7,21/08/2016
BD_01327V6-2,Automatic,50,0.26,5.15,9.9,1.6,1.3,1.8,8.4,6.8,9.4,21/08/2016
BD_01327V6-3,Automatic,51,0.23,4.60,9.4,1.5,1.1,1.8,8.1,6.5,9.9,21/08/2016
BD_01328V6-1,Automatic,37,0.16,4.35,9.1,1.6,1.3,2.0,7.7,7.0,9.0,21/08/2016
BD_01328V6-2,Automatic,50,0.20,4.07,8.8,1.5,1.3,1.8,7.7,4.9,9.6,21/08/2016
BD_01328V6-3,Automatic,47,0.21,4.54,9.3,1.6,1.4,1.7,7.8,6.8,8.7,21/08/2016
BD_01329V6-1,Automatic,45,0.21,4.66,8.7,1.5,1.1,1.8,7.4,6.3,9.3,21/08/2016
BD_01329V6-2,Automatic,44,0.24,5.40,10.1,1.6,1.4,1.7,8.3,6.8,9.2,21/08/2016
BD_01329V6-3,Automatic,44,0.21,4.68,9.3,1.5,1.3,1.7,7.8,6.6,8.8,21/08/2016
BD_01330V6-1,Automatic,37,0.18,4.99,9.7,1.5,1.3,1.7,8.5,6.9,10.0,21/08/2016
BD_01330V6-2,Automatic,50,0.25,4.95,9.9,1.5,1.2,1.7,8.9,7.4,10.3,21/08/2016
BD_01330V6-3,Automatic,32,0.19,5.80,11.5,1.7,1.4,1.8,9.3,6.9,10.7,21/08/2016
BD_01331V6-1,Automatic,39,0.19,4.94,8.9,1.5,1.3,1.6,8.2,6.6,9.7,21/08/2016
BD_01331V6-2,Automatic,45,0.23,5.15,9.5,1.5,1.3,1.6,8.7,7.0,10.3,21/08/2016
BD_01331V6-3,Automatic,50,0.24,4.78,9.0,1.4,1.2,1.6,8.4,6.9,9.8,21/08/2016
BD_01332V6-1,Automatic,37,0.14,3.75,9.8,1.5,1.3,1.7,8.3,6.9,9.5,21/08/2016
BD_01332V6-2,Automatic,50,0.27,5.42,9.5,1.5,1.4,1.7,8.2,4.7,10.1,21/08/2016
BD_01332V6-3,Automatic,44,0.24,5.46,9.6,1.5,1.3,1.8,8.6,6.9,10.7,21/08/2016
BD_01333V6-1,Automatic,38,0.20,5.26,10.4,1.7,1.5,1.9,8.3,6.7,10.1,21/08/2016
BD_01333V6-2,Automatic,44,0.24,5.53,11.5,1.9,1.5,2.1,8.7,6.9,10.0,21/08/2016
BD_01333V6-3,Automatic,45,0.23,5.10,10.4,1.7,1.5,1.9,8.2,6.5,9.5,21/08/2016
BD_01334V6-1,Automatic,38,0.20,5.23,8.9,1.5,1.3,1.6,8.0,6.9,9.4,21/08/2016
BD_01334V6-2,Automatic,44,0.23,5.16,9.0,1.5,1.3,1.6,7.9,6.6,9.3,21/08/2016
BD_01334V6-3,Automatic,49,0.26,5.21,9.1,1.5,1.2,1.9,8.1,6.8,9.5,21/08/2016
BD_01335V6-1,Automatic,38,0.20,5.20,10.2,1.7,1.5,1.9,8.0,6.9,9.1,21/08/2016
BD_01335V6-2,Automatic,50,0.26,5.29,10.3,1.7,1.5,1.9,8.0,7.1,9.9,21/08/2016
BD_01335V6-3,Automatic,44,0.24,5.41,10.5,1.7,1.5,2.0,8.0,7.1,9.3,21/08/2016
BD_01336V6-1,Automatic,38,0.20,5.22,9.9,1.6,1.3,1.8,8.3,7.4,9.5,21/08/2016
BD_01336V6-2,Automatic,50,0.27,5.43,10.1,1.7,1.4,1.9,8.3,7.3,9.5,21/08/2016
BD_01336V6-3,Automatic,45,0.26,5.67,10.6,1.7,1.4,1.9,8.5,7.3,9.5,21/08/2016
BD_01337V6-1,Automatic,39,0.20,5.21,8.6,1.4,1.1,1.5,8.3,6.7,9.3,21/08/2016
BD_01337V6-2,Automatic,50,0.25,5.06,8.7,1.3,1.1,1.5,8.2,7.3,9.3,21/08/2016
BD_01337V6-3,Automatic,44,0.23,5.29,9.5,1.4,1.2,1.6,8.8,7.5,10.3,21/08/2016
