ID,Main Seed,Main Seeds,Weight(g),TGW(g),ØArea,ØWidth,Min Width,Max Width,ØLength,Min Length,Max Length,Date
BD_01287V6-3,Automatic,43,0.22,5.01,11.1,1.7,1.4,1.9,8.9,7.5,10.3,17/08/2016
BD_01288V6-1,Automatic,38,0.17,4.44,9.3,1.5,0.9,1.8,7.9,4.7,9.1,17/08/2016
BD_01288V6-2,Automatic,50,0.25,4.92,10.4,1.6,1.4,1.8,8.7,6.1,9.8,17/08/2016
BD_01288V6-3,Automatic,44,0.20,4.63,10.3,1.6,1.3,1.8,8.5,4.5,10.0,17/08/2016
BD_01289V6-1,Automatic,38,0.21,5.43,9.9,1.6,1.2,1.9,8.3,5.9,10.0,17/08/2016
BD_01289V6-2,Automatic,47,0.24,5.12,9.5,1.6,0.7,1.7,8.2,4.8,9.6,17/08/2016
BD_01289V6-3,Automatic,44,0.22,5.02,9.6,1.6,1.3,1.8,8.2,7.0,10.5,17/08/2016
BD_01290V6-1,Automatic,18,0.08,4.26,8.9,1.6,1.3,1.8,7.6,6.1,8.4,17/08/2016
BD_01290V6-2,Automatic,43,0.22,5.04,9.7,1.6,1.4,1.8,8.0,6.8,10.8,17/08/2016
BD_01290V6-3,Automatic,50,0.22,4.45,9.9,1.6,1.3,1.8,8.3,7.1,9.5,17/08/2016
BD_01291V6-1,Automatic,29,0.15,5.05,9.5,1.7,1.3,2.0,7.4,6.2,8.5,17/08/2016
BD_01291V6-2,Automatic,37,0.06,1.53,8.6,1.4,1.1,1.8,8.3,6.8,11.7,17/08/2016
BD_01291V6-3,Automatic,52,0.20,3.89,9.2,1.6,0.6,1.9,7.4,3.1,8.8,17/08/2016
BD_01292V6-1,Automatic,5,0.03,5.86,8.8,1.5,1.4,1.6,7.5,7.2,8.0,17/08/2016
BD_01292V6-2,Automatic,32,0.13,3.98,9.6,1.5,1.3,1.9,8.3,6.7,9.3,17/08/2016
BD_01293V6-1,Automatic,11,0.05,4.18,8.8,1.5,1.4,1.7,8.2,7.4,9.1,17/08/2016
BD_01293V6-2,Automatic,37,0.17,4.53,9.5,1.4,1.2,1.6,8.6,7.0,9.9,17/08/2016
BD_01293V6-3,Automatic,50,0.26,5.23,9.4,1.5,1.1,1.7,8.4,6.9,9.4,17/08/2016
BD_01294V6-1,Automatic,38,0.20,5.22,9.7,1.5,1.3,1.6,8.7,7.5,10.0,17/08/2016
BD_01294V6-2,Automatic,50,0.26,5.18,9.4,1.5,1.3,1.6,8.2,6.8,9.8,17/08/2016
BD_01294V6-3,Automatic,44,0.22,5.09,9.3,1.5,1.3,1.6,8.3,6.9,9.7,17/08/2016
BD_01295V6-1,Automatic,38,0.22,5.78,10.1,1.5,1.2,1.7,9.1,7.0,10.9,17/08/2016
BD_01295V6-2,Automatic,45,0.15,3.42,9.6,1.4,0.9,1.7,8.5,5.4,10.9,17/08/2016
BD_01295V6-3,Automatic,8,0.04,5.30,9.3,1.4,1.3,1.6,8.2,7.6,9.1,17/08/2016
