ID,Main Seed,Main Seeds,Weight(g),TGW(g),ØArea,ØWidth,Min Width,Max Width,ØLength,Min Length,Max Length,Date
BD_01362V6-3,Automatic,50,0.26,5.13,9.9,1.5,1.3,1.7,8.2,7.1,9.6,22/08/2016
BD_01363V6-1,Automatic,45,0.22,4.84,9.3,1.4,1.2,1.7,8.2,7.2,9.0,22/08/2016
BD_01363V6-2,Automatic,44,0.24,5.48,9.4,1.6,1.3,1.7,8.0,5.8,9.3,22/08/2016
BD_01363V6-3,Automatic,46,0.20,4.43,9.7,1.5,1.3,1.7,8.5,7.4,9.8,22/08/2016
BD_01364V6-1,Automatic,39,0.18,4.68,9.6,1.7,1.2,1.9,7.6,6.6,8.2,22/08/2016
BD_01364V6-2,Automatic,49,0.24,4.83,9.5,1.6,1.3,1.9,7.6,6.8,8.7,22/08/2016
BD_01364V6-3,Automatic,46,0.22,4.87,10.1,1.7,1.4,2.1,7.8,6.5,8.8,22/08/2016
BD_01365V6-1,Automatic,37,0.19,5.19,9.6,1.6,1.4,1.8,8.0,7.2,9.2,22/08/2016
BD_01365V6-2,Automatic,45,0.23,5.17,10.0,1.6,1.4,1.8,8.6,6.4,10.4,22/08/2016
BD_01365V6-3,Automatic,50,0.24,4.72,9.4,1.6,1.4,1.8,8.0,7.1,9.8,22/08/2016
BD_01366V6-1,Automatic,36,0.17,4.79,11.1,1.7,1.5,2.0,9.0,7.1,10.8,22/08/2016
BD_01366V6-2,Automatic,50,0.27,5.41,11.0,1.7,1.5,1.9,8.9,7.9,10.2,22/08/2016
BD_01366V6-3,Automatic,40,0.20,4.98,10.8,1.7,1.3,1.9,9.0,6.7,10.6,22/08/2016
BD_01367V6-1,Automatic,38,0.16,4.12,7.7,1.3,1.0,1.5,7.5,6.6,8.6,22/08/2016
BD_01367V6-2,Automatic,50,0.22,4.44,7.9,1.3,1.2,1.6,7.5,6.6,8.7,22/08/2016
BD_01367V6-3,Automatic,45,0.20,4.44,7.9,1.4,0.6,1.5,7.3,1.2,8.9,22/08/2016
