RIL	median_length	median_width	median_depth	median_circularity	median_volume	median_crease_depth	median_surface_area	median_z	median_geometry_ratio	median_grain_count	se_length	se_width	se_depth	se_circularity	se_volume	se_crease_depth	se_surface_area	se_z	se_geometry_ratio	se_grain_count
17	4.469600000000001	1.4483029223436497	0.754581014771265	0.5165015042622858	2.1793141227520003	0.3652945649158005	15.963051093333297	876.8638788661436	0.4518986718225134	14	0.09712269732637045	0.01633585966286229	0.017232714463184272	0.003593365911185683	0.08717993717031114	0.006021461857267173	0.4605581709798057	41.46644931255923	0.021082652631434457	0
18	4.7656	1.3746643544701198	0.6837223094446969	0.5208757940030161	2.0873250329600004	0.29391107148958706	15.253361493333298	672.0903689989971	0.5899335523640754	17	0.04728504449110682	0.021568670287179584	0.01771594067592646	0.00564250353102815	0.06747446434875566	0.010451939472947813	0.37713678024222985	58.3560714804084	0.021827456770144634	0
19	4.7951999999999995	1.4216688893617748	0.7017379907323634	0.5131111213084529	2.118926021376	0.3303856031726365	15.27497344	957.7815488385555	0.5953983991049101	6	0.10629015215176078	0.009252197306750204	0.022195465841426936	0.007333575106551372	0.09645397763843075	0.009663567982049464	0.5119082523230166	67.56671309075004	0.03506893850628823	0
20	4.588	1.4172454785790898	0.839285305549264	0.584759926974987	2.5687959808	0.36210840585374104	16.56292864	887.4841892628531	0.4599900819995985	5	0.16464625838445288	0.025293779024237868	0.04798269706489481	0.0121777143111466	0.2198513220940382	0.018833542676934333	1.2244131386804757	114.25532058920041	0.03251570895438403	0
21	4.7064	1.43250993433264	0.690704730818029	0.508198135135119	2.0800115502080003	0.34693547530611796	14.9870088533333	753.581208008645	0.5749010070695745	23	0.09160103154945669	0.02309032090210905	0.014182614311749222	0.004442103371240815	0.06533569591772222	0.006352763292436309	0.3519030115585134	57.30406789341026	0.01756641737212136	0
22	4.6472	1.3967818954243898	0.7854824574700819	0.5428931660785661	2.314406078976	0.343081096296835	14.960139946666702	1096.937197907323	0.4501061132571591	7	0.12419816511401074	0.04260691232436188	0.014074678253119543	0.019527215824276942	0.09715698562276717	0.008089411451541455	0.29415847997128214	72.8663948296265	0.01230168660471901	0
23	4.6175999999999995	1.4512063672276048	0.760661030368358	0.5183665998996656	2.2164909934080006	0.3826323597022866	15.680927573333353	803.5803953561531	0.48503621754225934	10	0.14719532359721516	0.05010674897806554	0.03639941633789931	0.022054365238461254	0.1499906096966164	0.03099703976662102	0.8557026892353893	74.81545257922967	0.03568469752394457	0
24	4.6175999999999995	1.4299238483116046	0.7606153278972295	0.529513645634925	2.2205367498240003	0.36369649198130655	15.285487360000001	1026.3155733518806	0.45569359140314303	10	0.09101431779914873	0.02392641065928564	0.027887759254497796	0.010201845183307662	0.11356702680428826	0.014874229520770069	0.3669752132998342	61.222467797414176	0.02056086102053775	0
25	3.9959999999999996	1.16138206029741	0.7998643923752309	0.497315128545404	1.559742835712	0.4025749447636551	11.930962773333299	1021.8691190205101	0.3732281929514781	9	0.10813394528757743	0.008710982581468971	0.028532239422569366	0.007370110204547004	0.034867479804274674	0.014490867914594112	0.2992418465124877	40.45760753385461	0.036665618182875906	0
26	4.499200000000001	1.3196655646110003	0.7809982015891971	0.5273533792806879	2.0595234247679994	0.3416346784313929	13.9134208	484.04753684358786	0.46573507592796937	19	0.09062312354007696	0.021538099764858494	0.023207847464522733	0.0070349394647085265	0.06144227482280205	0.016230875586274555	0.3381758923708028	69.79387736726399	0.026562792611150247	0
