length,width,depth,volume,crease_depth,surface_area,crease_volume
146,47.6406958745637,22.0195299080541,63637,10.792420080903,14237.3333333333,1
145,46.4942724727851,25.3678006166322,75227,12.0953124554816,15765.3333333333,0.500212359311956
152,47.1909243231714,24.6204859722288,78221,12.6692832338788,16481.3333333333,0.333644627070103
150,48.3148636557309,26.2632983690331,79219,13.4370251472669,16900,0.143307462053985
157,45.1120300639602,23.4920333053621,73098,10.0835096195783,15397.3333333333,0.101796846351302
155,45.7930487952582,25.685780596708,78464,12.4262524959373,17250.6666666667,0.335050020718641
148,45.1781607472743,24.3769520237252,76125,11.3613601201648,16889.3333333333,0.252323651452282
140,41.7614179568113,19.6200268872972,59754,8.71789255074433,14746.6666666667,0.201335952848723
126,59.6340418210949,28.6596953457167,81350,15.4298244742246,19337.3333333333,0.379993022850166
