Measurement number	length	width	depth	ratio	circularity	volume	crease_depth	surface_area	x	y	z	geometry_ratio	grain_count	Plant number	Plant section	Number of slices	Resolution	RIL ID
1495	4.2623999999999995	1.25952291050331	0.7455239089817859	3.3841385213840502	0.5473180078711529	1.830497303552	0.385090706434526	13.2218385066667	310.487050522796	377.821484231107	1251.531991152125	0.4465585939967353	18	BD_01504	all	915	29.6	abr6
1495	4.5287999999999995	1.3199360036766	0.707272817175327	3.431075436525199	0.54076404860198	1.9411850496	0.357234899011556	13.8561783466667	250.73730126920498	356.782351369405	1208.3334360454442	0.5219536157101072	18	BD_01504	all	915	29.6	abr6
1495	4.3808	1.33856791606765	0.762676763094031	3.2727513840833797	0.5442305203334751	2.0313068672	0.387811516901532	14.453135360000001	310.1152505585699	358.6428598787111	1148.28828669365	0.44365645099208184	18	BD_01504	all	915	29.6	abr6
1495	4.7952	1.25263136997294	0.725591776924705	3.8281014789719108	0.54614229497323	2.0410322432	0.3731383732894801	13.957812906666701	252.17978398983496	325.258068614994	1104.7265292288462	0.564697223655655	18	BD_01504	all	915	29.6	abr6
1495	4.292	1.2116570921258099	0.7005962231592618	3.5422563263916795	0.5319774966926941	1.6727128033280003	0.37788566322427714	11.881897813333302	179.50795373499997	221.454804800149	1105.041532775147	0.4981504364068957	18	BD_01504	all	915	29.6	abr6
1495	4.44	1.23568342234728	0.759380400115589	3.5931533268981197	0.522130160639843	1.8424011637760003	0.4060538972676671	13.2428663466667	157.000816429949	172.83582719837798	1051.1163031575581	0.47178096749484866	18	BD_01504	all	915	29.6	abr6
1495	4.1736	1.29297427971831	0.7800785087954288	3.2279064367075305	0.527570631996699	1.8688282521599997	0.40444214921459304	14.1575773866667	311.3174160421869	337.95942270330306	1037.862344892836	0.39958641513480947	18	BD_01504	all	915	29.6	abr6
1495	4.6472	1.16163064967642	0.7173695214170078	4.00058314688452	0.5075038103152439	1.717190189568	0.413145837697939	12.852683093333303	250.108996722698	302.420748191443	992.831703998746	0.5615152555092051	18	BD_01504	all	915	29.6	abr6
1495	4.5287999999999995	1.23283111186583	0.7579004126721521	3.6734958717466903	0.5333086529919701	1.8938289520639997	0.40659449549140303	14.136549546666702	166.69052640227903	168.12610922436497	945.147298651609	0.4898228081238554	18	BD_01504	all	915	29.6	abr6
1495	4.7064	1.3105192668057801	0.725431348690896	3.59124823206243	0.51382496153366	1.962995826176	0.37639469423231803	13.880710826666702	187.425651662681	226.89864052529404	900.9100837746751	0.5389876069109051	18	BD_01504	all	915	29.6	abr6
1495	3.848	1.25940092793197	0.663290916141811	3.05542096615627	0.5335290284684131	1.451311376896	0.355512988781093	11.138914133333298	392.8654956130161	301.4794589088829	901.0495688391371	0.44008082183334135	18	BD_01504	all	915	29.6	abr6
1495	4.3808	1.23131804089063	0.715018733211891	3.5578135416836103	0.553024945595047	1.7541984870399998	0.35795635635713396	13.4040797866667	372.90594044767687	352.275998698956	851.294695851196	0.4990599054431312	18	BD_01504	all	915	29.6	abr6
1495	4.0847999999999995	1.1428169548886202	0.7483105739413749	3.5743256892772397	0.5322968293236751	1.564436950528	0.38022466073360106	13.1435682133333	189.69203096765602	176.14552146018795	830.1971281204977	0.4306544086884893	18	BD_01504	all	915	29.6	abr6
1495	4.3216	1.2652441429014298	0.678243093808976	3.4156253749492294	0.5278286223948012	1.687261965824	0.347332521978621	12.6646007466667	377.64366190688503	293.1721206904501	801.530138033115	0.5178393236542086	18	BD_01504	all	915	29.6	abr6
1495	4.114399999999999	1.2909864597324798	0.7700375098105229	3.187020258022381	0.531519974096192	1.7929443850239997	0.40629428691899	13.876037973333302	352.83639019874397	343.74773628026696	741.528522718534	0.3967190134640897	18	BD_01504	all	915	29.6	abr6
1495	4.203200000000001	1.3304982902688098	0.7211659181829638	3.1591171749276	0.524450593455384	1.737055890944	0.385494320082732	13.794263039999997	362.262813717732	281.4925424386749	697.6851687969421	0.44740356317897223	18	BD_01504	all	915	29.6	abr6
1495	2.7527999999999997	1.40256581373826	0.822176604136306	1.9626886475030698	0.372890837903315	1.146453257216	0.47053830745540404	11.341015039999998	326.59510021264094	325.051848165407	616.9752431856411	0.1341696675967769	18	BD_01504	all	915	29.6	abr6
1495	3.2264	1.4560524727697801	0.657263504578811	2.21585420878588	0.495615089083367	1.2894292515839996	0.385019091463377	12.5723118933333	326.940244172248	255.51209799070799	595.4385150197401	0.3188829911479446	18	BD_01504	all	915	29.6	abr6
1497	4.588	1.2283830606968902	0.7086975463269639	3.7349912635535003	0.5212633777737099	1.768773583872	0.38697959920828506	12.5863304533333	230.974179642826	264.172736869887	1111.3393823305541	0.5453067470115451	6	BD_01504	all	804	29.6	abr6
1497	4.7656	1.25820988459282	0.7375156962934781	3.78760337075418	0.529287207869374	1.94287078144	0.39101228629411905	13.9683268266667	245.75607021290799	220.570833611426	1056.888674174821	0.5470284551825971	6	BD_01504	all	804	29.6	abr6
1497	4.943200000000001	1.2899241250195597	0.750019426252213	3.8321633839703897	0.49573661713605	2.048241988608	0.41861580391217607	14.4262664533333	221.60381372027695	278.2219352224669	1007.027157938824	0.5630609566067268	6	BD_01504	all	804	29.6	abr6
1497	4.854399999999999	1.3407382146501299	0.8018674376733531	3.6206919046211903	0.5338277914293851	2.1813370009600006	0.4324269701713991	15.758029653333299	243.50955891094998	219.30467245274	954.2343611930081	0.49491481831464484	6	BD_01504	all	804	29.6	abr6
