RIL	length	width	depth	circularity	volume	crease_depth	surface_area	z	geometry_ratio	grain_count
1	4.3512	1.3391039695212803	0.7699582043243001	0.46559260394668806	1.7889504972799999	0.4360043391138841	14.147063466666697	914.341815957277	0.3922146027325907	9
2	4.469600000000001	1.30120248956405	0.757463532848101	0.4888415353398021	1.929151517696	0.4112346711502501	13.9718314666667	964.522719801959	0.4579570275389985	7
4	4.2623999999999995	1.4859059422979797	0.67137346727814	0.56292084192185	1.968390168064	0.2742312511115139	14.253370879999999	949.7001861943581	0.5112036555734959	7
5	4.4548000000000005	1.3399379448906	0.7432969655030559	0.542480432538081	2.011635673344	0.3546249488072746	14.546592426666649	825.3690840993805	0.46729210310838354	14
6	4.6768	1.3784581888056398	0.7933186946419846	0.5125248750749989	2.2664405245440005	0.37569005595029153	15.760950186666648	862.3349666119161	0.4730216816097146	14
7	4.3808	1.2926176290369202	0.9405671838841638	0.459445519185194	2.2006840156160004	0.5134276529473469	16.052419413333293	972.759575405412	0.37586856782392036	11
8	4.1735999999999995	1.3623546455208848	0.7911081832277778	0.5315421225777348	2.0188972874239997	0.401639766722372	13.7387729066667	881.252142439012	0.4007302842722935	12
9	4.5584	1.39483988628563	0.7787023257140219	0.5204857849493169	2.05348072448	0.38048800766953805	14.6096759466667	766.8688112241729	0.48154772516721217	17
11	4.81	1.2665108385801147	0.6821915288861653	0.5540684224415716	1.9915365629439998	0.31876394931097407	14.12545152	1045.0228483053936	0.6147011123300927	8
13	4.3216	1.2660056558684398	0.7245291619647108	0.459002583495599	1.4860374528	0.404662230359124	12.433294506666702	920.645434568562	0.4891688448449756	7
14	4.6175999999999995	1.4121526739305348	0.7782365157976661	0.5324449462937015	2.3076242501119997	0.3255785191527775	15.385953706666651	677.7479056067675	0.48053986850968133	18
15	4.292	1.26576646934909	0.8545900517344511	0.4746680555964705	1.954943214848	0.45527537364651005	14.89004714666665	907.8951291926821	0.3718345283586777	8
16	4.5287999999999995	1.5971171546138903	0.738879746713762	0.5022440795285331	2.176357608448	0.3525199663646801	15.416911359999999	487.529084488365	0.45045002295570036	5
17	4.469600000000001	1.4483029223436497	0.754581014771265	0.5165015042622858	2.1793141227520003	0.3652945649158005	15.963051093333297	876.8638788661436	0.4518986718225134	14
18	4.7656	1.3746643544701198	0.6837223094446969	0.5208757940030161	2.0873250329600004	0.29391107148958706	15.253361493333298	672.0903689989971	0.5899335523640754	17
19	4.7951999999999995	1.4216688893617748	0.7017379907323634	0.5131111213084529	2.118926021376	0.3303856031726365	15.27497344	957.7815488385555	0.5953983991049101	6
