length,width,depth,volume,crease_depth,surface_area,crease_volume
69,19.91636219625,13.2309551804638,10569,3.07149235699239,3752,0
64,18.549603567609,11.1456842472492,9384,1.80369990112916,2980,0
87,18.3675224997463,12.7111953294441,13752,2.12916258968951,4440,0
70,18.86166672533,13.0477674074972,11341,1.74302392850775,3936,0
66,20.1540225644031,13.5526046974326,10369,2.65617670624642,3230.66666666667,0
61,17.744872328213,12.7342081647398,8760,1.44830709049364,3298.66666666667,0
56,20.7207364652093,14.7970113688409,9690,2.91642501588656,3446.66666666667,0
63,21.0331239724346,12.4523539198577,10376,2.46397285126751,3308,0
63,19.1261543813004,11.9662060179831,9567,2.21108319357027,3205.33333333333,0
64,19.741646176377,14.4165762038977,10288,3.17306561765708,3537.33333333333,0
97,27.6202756963647,16.1595249004717,23132,7.42156927679887,7621.33333333333,0
110,28.9445287201289,16.4313546367083,29215,3.42834677112013,9378.66666666667,0
100,22.4743732469345,15.7821181534931,21601,4.57327117445433,7797.33333333333,0
55,21.668910326173,15.5892310925278,10697,4.54202634459223,3601.33333333333,0
79,21.0975573652689,13.3208789868897,12106,2.46397285126751,3841.33333333333,0
69,20.9792909721516,13.6787406091255,11419,2.97461673030907,3457.33333333333,0
68,20.9279515789601,13.5647796272855,11435,3.31517197398895,3941.33333333333,0
