length,width,depth,volume,crease_depth,surface_area,crease_volume
146,44.9716878079489,25.3080313171928,75202,11.7727694173151,15338.6666666667,1
152,45.7698199123455,29.5987288547552,86198,16.303775432034,18064,1
158,46.9208152715756,28.9528455049635,88523,15.6622702125594,17802.6666666667,1
156,49.1659514838733,29.5545832132285,93055,15.5041847808229,19237.3333333333,1
163,45.8568796880767,29.3366144683167,90951,17.0406343140099,17989.3333333333,1
144,47.8477649292043,32.7172543213309,87695,17.5771476110289,18670.6666666667,1
152,46.709324054524,28.5300670119079,77826,16.6359153337521,16232,0.250885383129427
125,40.9566685590238,30.3304122968079,61168,18.0861964976163,15214.6666666667,0.341904404404404
143,41.329722352601,20.660900460648,51125,10.7270113883184,12709.3333333333,0.500352360817477
121,53.4313636858842,20.791511575951,49473,11.3422293858772,13700,0.265439672801636
