length,width,depth,volume,crease_depth,surface_area,crease_volume
151,46.5943435656746,26.6147851412881,74311,15.2777500404942,15713.3333333333,0.500353806962921
154,46.8590631243397,24.9591326138798,70397,15.1793930170873,15078.6666666667,0.337220403709765
140,48.0210894238629,26.4625348406579,77111,16.1789458900536,17597.3333333333,1
136,49.6013870899411,20.2827504681199,55135,11.7794842316229,14174.6666666667,0.336606168798969
124,48.6912835974922,21.915030678872,54671,12.3135661751805,12954.6666666667,1
150,52.012792458475,29.7845739977805,96273,17.4664741020718,22130.6666666667,0.335823791965845
164,51.1691877124045,22.1454149046117,73276,12.3162639240718,16277.3333333333,0.101477449455677
152,49.1569361623896,23.1360579002397,69639,12.9729659136789,15362.6666666667,0.504449603404914
138,47.5156197838131,28.1258540756925,73233,16.2728473810385,18000,0.237107623318386
162,49.0963789827943,27.2753730351572,77641,15.7341551637625,17796,0.254380878752738
146,51.4727586937791,25.9627653638991,79954,12.7432543196324,17701.3333333333,0.333683105981112
155,48.5743805797939,23.6320684433458,76469,12.4539936858386,16733.3333333333,1
151,51.6545656433382,28.499109878007,89106,15.7776507491425,20564,0.253733129127979
162,53.1844317189747,25.6832572840726,78242,15.1006438441742,18585.3333333333,0.333613143062717
151,50.6520804535717,25.3316982689958,73720,13.005508879608,17197.3333333333,0.125457372850348
164,50.679780881578,24.5952256239219,75127,14.2267014972744,17305.3333333333,0.336387665198238
129,53.79366685918,28.2236237899459,70696,15.8329018312761,18428,0.333622685185185
153,51.568794666079,29.1767218159879,89409,16.9246695352018,19878.6666666667,0.500047352969031
137,55.1324203250842,25.2327307735798,67851,15.36818512408,17073.3333333333,0.50440928543639
