length,width,depth,ratio,circularity,volume,crease_depth,surface_area,crease_volume,x,y,z
4.6768,1.31220301927846,0.695355716792048,3.56408263911145,0.507129874130305,1.79634178304,0.34754470066112,13.32814592,1.29729006118479e-05,308.065299935032,229.131711542626,213.035024904353
4.1736,1.41946082907369,0.651631134238133,2.94027134424244,0.531660208132348,1.749971190272,0.296384708376975,13.8211319466667,1.29713469133097e-05,297.550750626139,171.032455503357,270.816989492716
4.3512,1.28478886308069,0.629741260893592,3.38670432553924,0.509592004323015,1.546568193024,0.35209150323848,11.6891426133333,1.30027812169667e-05,279.179260153604,412.787906227991,390.344115772881
4.7656,1.25846284690715,0.724637531789136,3.78684202852085,0.53846490503845,1.876037997568,0.381476377229754,13.9367850666667,2.5934336e-05,282.286834029141,258.966227985291,422.5744145539
4.4992,1.31881100520879,0.828568368715118,3.41155782157557,0.51338497135015,2.057682086912,0.434254563734228,15.60966656,2.5934336e-05,292.849827329788,190.649907993244,483.846386529203
4.7656,1.43505269496959,0.59544006136922,3.3208536639144,0.525406903314282,1.841441593344,0.285008162752034,13.82230016,1.29707304087912e-05,259.441144160892,409.357022139598,500.0328432201
4.7952,1.51307156124824,0.63335374661634,3.1691825573961,0.464590609343223,1.834672731648,0.35530008958888,15.92157952,1.30525095078611e-05,281.268426111786,158.510644313138,535.256509569987
4.5584,1.17761622327509,0.684893372213493,3.87087058576908,0.496064722124705,1.554063216128,0.372483180402625,13.1447364266667,5.35600417391304e-06,292.47685169732,265.170833472412,534.091825494843
4.292,1.42320165715353,0.803833914311007,3.01573566783516,0.493297055593745,1.957316206592,0.406935140666942,15.3596689066667,5.57792252867133e-06,246.243043777825,389.042956328175,700.150545897816
4.1736,1.50167841094231,0.614675534633833,2.7792901393455,0.472206436719354,1.568327100928,0.33907355718622,13.09683968,1.29853089736989e-05,256.190878573909,138.429861260397,746.802705339573
1.5688,0.886678894854298,0.736795121146102,1.76929890753494,0.919038323617469,0.527971212288,0.0422210099250645,5.24177322666667,2.5934336e-05,280.771626467554,259.111951662819,741.091418185391
4.0848,1.55313948808597,0.632499200767407,2.63002778007658,0.466292241690545,1.561532304896,0.346097047266745,14.1704277333333,5.37883024341779e-06,301.390483308421,150.118834080717,800.494419531639
4.0552,1.66670371098231,0.650631061204567,2.43306592124282,0.448932343706469,1.80853092096,0.362936492020683,15.1283626666667,8.64960365941085e-06,246.688678568868,175.278769627877,840.140015774002
1.6576,0.917362030706121,0.793787819972962,1.80692021744577,0.944720240661646,0.514900306944,0.0341791359360259,5.30252032,0,270.445048856654,320.842500251838,857.346932608039
3.1376,1.80114602539829,0.788562666445675,1.74200201191693,0.373769251163445,1.3686845824,0.506105952855465,13.5127236266667,6.81363069683258e-06,307.60314933773,190.960737498342,893.717677600288
2.3384,2.53936696043064,0.665659095677402,0.920859425375623,0.341796690756941,1.126743161856,0.418775597190715,11.70199296,1.29704277204625e-05,249.712447636146,211.672605072964,945.644961561479
2.0128,1.23299443688392,0.404415772159361,1.63244856569413,0.481192937266468,0.702924242944,0.168641059041678,7.03731712,0,259.807288333396,306.347776983022,982.208974889884
